model,validation_accuracy,validation_f1_weighted,validation_f1_macro,test_accuracy,test_f1_weighted,test_f1_macro
Logistic Regression (L1),0.8089994797988556,0.813763681570867,0.7574590799388099,0.8016299635859199,0.8063269144382901,0.744973505726706
Logistic Regression (L2),0.8095196809432981,0.8142416158982199,0.758222266180356,0.8010230622507369,0.8057385357356023,0.744307550739668
